	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_23_3.biom	23	3	3.02228695549	4.34964891258	4.34964891258	4.1757358691	3.58401237021	3.84922391239	3.81640271664	4.14291467335	3.91486630388
alpha_rarefaction_23_4.biom	23	4	3.58219306674	4.14291467335	4.05595815162	3.93183845717	3.41444130369	3.65399673867	3.91486630388	3.96900162988	3.91486630388
alpha_rarefaction_23_5.biom	23	5	2.86905118193	3.84488193543	4.22987119509	4.34964891258	3.34011495828	3.46857662969	3.81640271664	4.22987119509	4.00182282562
alpha_rarefaction_23_6.biom	23	6	2.93533043375	4.14291467335	4.14291467335	4.43660543432	3.76226739065	3.7950885864	3.7950885864	3.67531086891	3.67531086891
alpha_rarefaction_23_7.biom	23	7	3.28850230577	4.31682771683	3.93618043413	4.14291467335	3.44726249944	3.7950885864	4.00182282562	4.43660543432	3.10924347723
alpha_rarefaction_23_8.biom	23	8	3.46857662969	4.02313695587	4.34964891258	4.02313695587	2.94683749925	3.67531086891	3.84922391239	4.08877934736	4.01879497891
alpha_rarefaction_23_9.biom	23	9	3.29466358621	4.05595815162	4.14291467335	4.22987119509	3.51402800176	3.58835434717	4.1757358691	3.91486630388	3.96900162988
alpha_rarefaction_36_0.biom	36	0	3.29171690866	4.57243125132	4.87117812638	4.65979922431	3.98184444774	3.76239626636	4.51687569577	4.73632387715	4.57243125132
alpha_rarefaction_36_1.biom	36	1	3.85989001648	4.87117812638	4.23632387715	4.76006701527	3.67927532701	3.82995747484	4.49590659848	4.38479548737	4.42673368194
alpha_rarefaction_36_2.biom	36	2	3.66843200686	5.00325833478	4.79465347354	4.78103611255	3.84743498826	3.92745122496	3.90182821104	4.37117812638	4.14160416787
alpha_rarefaction_36_3.biom	36	3	4.11436944589	4.50325833478	4.51687569577	4.81562257083	3.68148586462	4.01759323879	4.64895590416	4.57243125132	4.19438568259
alpha_rarefaction_36_4.biom	36	4	4.43757700209	5.00325833478	4.6070177096	4.78103611255	3.96132014021	4.21535477987	3.97100112759	4.76006701527	4.04133637691
alpha_rarefaction_36_5.biom	36	5	3.90576458466	4.87117812638	4.89214722366	4.89214722366	3.92745122496	3.68980798713	4.55146215404	4.66257326515	4.5486881132
alpha_rarefaction_36_6.biom	36	6	4.66992500144	4.79465347354	4.73909791799	4.76006701527	3.72780980808	4.46132014021	4.19438568259	4.51687569577	4.40576458466
alpha_rarefaction_36_7.biom	36	7	4.06507951503	4.78103611255	4.27368437626	4.73909791799	4.2607845583	3.96822708675	4.00674991864	4.40576458466	4.49313255765
alpha_rarefaction_36_8.biom	36	8	3.83550555652	4.92673368194	4.41660790481	4.55146215404	3.79079332112	3.95396840392	3.96758576491	4.3502090291	4.03784479305
alpha_rarefaction_36_9.biom	36	9	4.5486881132	4.70451145972	4.5486881132	4.70451145972	3.87117812638	3.78103611255	4.16257326515	4.20451145972	4.21812882071
alpha_rarefaction_49_0.biom	49	0	3.84915702182	4.9796197323	4.74268829405	5.05328586444	4.3987137436	4.18581163124	4.55519664083	4.80009460002	4.34993089613
alpha_rarefaction_49_1.biom	49	1	3.99088063156	5.07869632357	4.98705907876	5.06125238536	4.56059791647	4.50437572255	4.48185729301	4.91543101745	4.73472177312
alpha_rarefaction_49_2.biom	49	2	3.96449343926	5.28817923187	4.70391003834	5.24736290534	4.10370780295	4.06311971644	4.37401622127	4.98165780312	4.29778484385
alpha_rarefaction_49_3.biom	49	3	3.83676258945	5.08409759922	4.61734728486	4.98705907876	4.08830193555	3.86107615461	4.3416375909	4.39912774597	4.64512259913
alpha_rarefaction_49_4.biom	49	4	4.15027717493	5.19114071142	4.57653095833	4.95420927316	4.29285474344	4.17993918036	4.41819575262	4.85631679394	4.71931590573
alpha_rarefaction_49_5.biom	49	5	3.83256704239	5.35440601754	4.5760597831	4.87461469092	4.64512259913	4.12215009085	4.39278529348	4.94084147659	4.30238815996
alpha_rarefaction_49_6.biom	49	6	4.07678644746	5.06869173183	4.81635442618	4.93880340577	4.77553809965	4.03800819174	4.53775270262	4.64972591523	4.15163669163
